County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Jackson County,South Dakota,3031,1938,1389,190,76
Jerauld County,South Dakota,2071,2071,503,519,28
Jones County,South Dakota,1006,1006,404,207,10
Kingsbury County,South Dakota,5148,863,195,152,14
Lake County,South Dakota,11200,1417,135,212,9
Lawrence County,South Dakota,24097,332,168,71,3
Lincoln County,South Dakota,44828,60,6,7,0
Lyman County,South Dakota,3755,2062,632,383,26
Marshall County,South Dakota,4656,2360,706,397,36
McCook County,South Dakota,5618,2683,641,500,32
McPherson County,South Dakota,2459,1369,571,270,13
Meade County,South Dakota,25434,1962,581,294,7
Mellette County,South Dakota,2048,827,584,118,35
Miner County,South Dakota,2389,580,150,109,0
Minnehaha County,South Dakota,169468,1099,190,152,16
Moody County,South Dakota,6486,1123,279,144,7
Oglala Lakota County,South Dakota,13586,4679,3554,288,154
Pennington County,South Dakota,100948,2675,558,432,16
Perkins County,South Dakota,2982,947,255,177,2
Potter County,South Dakota,2329,923,288,248,0
Roberts County,South Dakota,10149,3585,1043,762,30
Sanborn County,South Dakota,2355,2328,654,473,20
Spink County,South Dakota,6415,2779,739,467,12
Stanley County,South Dakota,2966,399,141,71,0
Sully County,South Dakota,1373,1369,298,261,14
Todd County,South Dakota,9612,1638,1181,149,90
Tripp County,South Dakota,5644,1510,583,294,9
Turner County,South Dakota,8347,179,63,20,2
Union County,South Dakota,14399,143,61,26,0
Walworth County,South Dakota,5438,1369,426,398,6
Yankton County,South Dakota,22438,1876,363,271,16
Ziebach County,South Dakota,2801,1050,701,94,45
Anderson County,Tennessee,75129,111,62,19,5
Bedford County,Tennessee,45058,829,181,119,7
Benton County,Tennessee,16489,1162,526,191,40
Bledsoe County,Tennessee,12876,602,244,91,12
Blount County,Tennessee,123010,66,16,10,1
Bradley County,Tennessee,98963,31,12,4,1
Campbell County,Tennessee,40716,3293,1703,536,118
Cannon County,Tennessee,13801,320,103,42,1
Carroll County,Tennessee,28522,142,74,15,4
Carter County,Tennessee,57424,1258,754,187,6
Cheatham County,Tennessee,39105,180,49,33,1
Chester County,Tennessee,17131,1254,481,264,11
Claiborne County,Tennessee,32213,2710,1431,477,42
Clay County,Tennessee,7861,14,7,3,0
Cocke County,Tennessee,35662,3799,1668,659,59
Coffee County,Tennessee,52796,832,325,104,11
Crockett County,Tennessee,14586,106,47,22,0
Cumberland County,Tennessee,56053,2327,995,345,19
Davidson County,Tennessee,626681,0,0,0,0
DeKalb County,Tennessee,18723,143,40,27,1
Decatur County,Tennessee,11757,730,332,168,8
Dickson County,Tennessee,49666,1454,478,237,20
Dyer County,Tennessee,38335,101,39,11,1
Fayette County,Tennessee,38413,2729,1285,385,81
Fentress County,Tennessee,17959,57,21,14,1
Franklin County,Tennessee,41052,3232,1194,520,54
Gibson County,Tennessee,49683,36,14,8,0
Giles County,Tennessee,29485,3543,1428,552,25
Grainger County,Tennessee,22657,0,0,0,0
Greene County,Tennessee,68831,3597,1506,602,64
Grundy County,Tennessee,13703,952,513,136,17
Hamblen County,Tennessee,62544,0,0,0,0
Hamilton County,Tennessee,336463,0,0,0,0
Hancock County,Tennessee,6819,73,35,20,3
Hardeman County,Tennessee,27253,3396,1895,497,48
Hardin County,Tennessee,26026,1928,745,358,21
Hawkins County,Tennessee,56833,326,147,49,7
Haywood County,Tennessee,18787,2019,870,299,55
Henderson County,Tennessee,27769,1140,480,141,27
Henry County,Tennessee,32330,3012,1169,744,49
Hickman County,Tennessee,24690,2420,954,178,29
Houston County,Tennessee,8426,164,63,30,4
Humphreys County,Tennessee,18538,617,322,88,1
Jackson County,Tennessee,11638,9,4,3,0
Jefferson County,Tennessee,51407,0,0,0,0
Johnson County,Tennessee,18244,1489,510,252,43
Knox County,Tennessee,432226,0,0,0,0
Lake County,Tennessee,7832,15,6,0,0
Lauderdale County,Tennessee,27815,54,24,11,1
Lawrence County,Tennessee,41869,1452,657,219,20
Lewis County,Tennessee,12161,31,12,8,0
Lincoln County,Tennessee,33361,3387,1268,543,50
Loudon County,Tennessee,48556,0,0,0,0
Macon County,Tennessee,22248,0,0,0,0
Madison County,Tennessee,98294,1310,420,237,15
Marion County,Tennessee,28237,1,0,0,0
Marshall County,Tennessee,30617,775,198,108,2
Maury County,Tennessee,80956,1720,508,237,20
McMinn County,Tennessee,52266,0,0,0,0
McNairy County,Tennessee,26075,515,261,81,15
Meigs County,Tennessee,11753,373,82,57,8
Monroe County,Tennessee,44519,227,93,39,3
Montgomery County,Tennessee,172331,1474,450,204,5
Moore County,Tennessee,6362,8,3,1,0
Morgan County,Tennessee,21987,2812,1498,475,62
Obion County,Tennessee,31807,60,33,13,2
Overton County,Tennessee,22083,98,49,12,1
Perry County,Tennessee,7915,1944,1086,331,51
Pickett County,Tennessee,5077,39,13,9,1
Polk County,Tennessee,16825,667,325,121,4
Putnam County,Tennessee,72321,139,73,31,2
Rhea County,Tennessee,31809,0,0,0,0
Roane County,Tennessee,54181,581,175,88,7
Robertson County,Tennessee,66283,294,118,38,0
Rutherford County,Tennessee,262604,293,43,32,3
Scott County,Tennessee,22228,171,73,24,3
Sequatchie County,Tennessee,14112,166,80,30,2
Sevier County,Tennessee,89889,556,236,93,47
Shelby County,Tennessee,927644,0,0,0,0
Smith County,Tennessee,19166,7,3,1,0
Stewart County,Tennessee,13324,2104,914,289,4
Sullivan County,Tennessee,156823,5,3,1,0
Sumner County,Tennessee,160645,0,0,0,0
Tipton County,Tennessee,61081,2306,877,169,34
Trousdale County,Tennessee,7870,0,0,0,0
Unicoi County,Tennessee,18313,592,306,110,6
Union County,Tennessee,19109,364,138,63,8
Van Buren County,Tennessee,5548,107,49,19,3
Warren County,Tennessee,39839,950,391,145,16
Washington County,Tennessee,122979,0,0,0,0
Wayne County,Tennessee,17021,4152,1523,482,62
Weakley County,Tennessee,35021,1018,485,196,25
White County,Tennessee,25841,846,531,152,12
Williamson County,Tennessee,183182,0,0,0,0
Wilson County,Tennessee,113993,24,6,3,0
Anderson County,Texas,58458,18196,5335,1081,64
Andrews County,Texas,14786,118,30,9,0
Angelina County,Texas,86771,4528,1820,959,65
Aransas County,Texas,23158,8,4,5,0
Archer County,Texas,9054,1655,446,282,9
Armstrong County,Texas,1901,1896,406,393,10
Atascosa County,Texas,44911,3023,1254,479,62
Austin County,Texas,28417,2093,637,417,7
Bailey County,Texas,7165,451,157,70,0
Bandera County,Texas,20485,7294,2097,1482,36
Bastrop County,Texas,74171,1725,465,279,8
Baylor County,Texas,3726,277,54,62,1
Bee County,Texas,31861,3714,1459,642,40
Bell County,Texas,310235,4963,1664,743,33
Bexar County,Texas,1714773,37,18,3,0
Blanco County,Texas,10497,667,100,123,22
Borden County,Texas,641,641,97,133,5
Bosque County,Texas,18212,4656,1774,670,35
Bowie County,Texas,92565,943,292,177,18
Brazoria County,Texas,313166,5704,962,549,6
Brazos County,Texas,194851,1731,430,216,2
Brewster County,Texas,9232,1863,773,351,52
Briscoe County,Texas,1637,1637,793,358,24
Brooks County,Texas,7223,457,200,106,9
Brown County,Texas,38106,4080,1215,927,54
Burleson County,Texas,17187,1397,377,239,23
Burnet County,Texas,42750,5156,1367,821,37
Caldwell County,Texas,38066,842,255,179,1
Calhoun County,Texas,21381,4440,1738,886,77
Callahan County,Texas,13544,1224,381,252,9
Cameron County,Texas,406220,453,236,142,1
Camp County,Texas,12401,110,37,21,3
Carson County,Texas,6182,1090,326,189,8
Cass County,Texas,30464,1593,612,319,28
Castro County,Texas,8062,774,183,120,0
Chambers County,Texas,35096,141,103,24,6
Cherokee County,Texas,50845,3678,1748,512,108
Childress County,Texas,7041,142,31,25,0
Clay County,Texas,10752,4520,1476,839,32
Cochran County,Texas,3127,662,288,96,6
Coke County,Texas,3320,3319,1198,862,55
Coleman County,Texas,8895,1581,590,420,13
Collin County,Texas,782341,55,19,5,0
Collingsworth County,Texas,3057,225,87,43,1
Colorado County,Texas,20874,3333,1122,733,23
Comal County,Texas,108472,0,0,0,0
Comanche County,Texas,13974,2060,701,442,18
Concho County,Texas,4087,1091,492,281,17
Cooke County,Texas,38437,1258,236,209,11
Coryell County,Texas,75388,2910,800,573,53
Cottle County,Texas,1505,1504,856,358,62
Crane County,Texas,4375,186,56,11,3
Crockett County,Texas,3719,250,84,45,0
Crosby County,Texas,6059,337,142,76,12
Culberson County,Texas,2398,186,102,42,0
Dallam County,Texas,6703,1200,455,148,16
Dallas County,Texas,2368139,0,0,0,0
Dawson County,Texas,13833,1171,327,200,16
DeWitt County,Texas,20097,1122,437,253,7
Deaf Smith County,Texas,19372,965,229,151,11
Delta County,Texas,5231,377,104,95,0
Denton County,Texas,662614,938,269,85,4
Dickens County,Texas,2444,485,144,127,4
Dimmit County,Texas,9996,1063,762,212,56
Donley County,Texas,3677,574,203,106,6
Duval County,Texas,11782,3150,1639,730,98
Eastland County,Texas,18583,3148,1419,761,54
Ector County,Texas,137130,445,108,63,2
Edwards County,Texas,2002,638,219,186,0
El Paso County,Texas,800647,59,32,9,1
Ellis County,Texas,149610,96,27,8,0
Erath County,Texas,37890,4158,1173,689,38
Falls County,Texas,17866,1334,352,255,43
Fannin County,Texas,33915,6118,2248,1167,122
Fayette County,Texas,24554,3464,1146,675,53
Fisher County,Texas,3974,677,146,170,2
Floyd County,Texas,6446,412,76,94,0
Foard County,Texas,1336,1336,552,319,28
Fort Bend County,Texas,585375,1289,282,127,9
Franklin County,Texas,10605,635,109,120,4
Freestone County,Texas,19816,2612,1157,654,48
Frio County,Texas,17217,330,147,83,5
Gaines County,Texas,17526,537,242,48,8
Galveston County,Texas,291309,448,95,98,0
Garza County,Texas,6461,291,65,73,2
Gillespie County,Texas,24837,2598,778,624,34
Glasscock County,Texas,1226,1206,447,158,0
Goliad County,Texas,7210,2654,711,482,65
Gonzales County,Texas,19807,3406,1518,574,80
Gray County,Texas,22535,1923,695,434,38
Grayson County,Texas,120877,1072,316,230,8
Gregg County,Texas,121730,0,0,0,0
Grimes County,Texas,26604,8330,3246,1336,127
Guadalupe County,Texas,131533,1179,404,187,19
Hale County,Texas,36273,2061,804,305,12
Hall County,Texas,3353,820,436,214,15
Hamilton County,Texas,8517,1389,325,381,4
Hansford County,Texas,5613,427,204,46,7
Hardeman County,Texas,4139,1070,323,210,15
Hardin County,Texas,54635,3037,1234,456,95
Harris County,Texas,4092459,0,0,0,0
Harrison County,Texas,65631,1770,604,247,20
Hartley County,Texas,6062,1450,699,123,2
Haskell County,Texas,5899,296,132,83,5
Hays County,Texas,157107,294,43,38,4
Hemphill County,Texas,3807,403,106,89,0
Henderson County,Texas,78532,2579,943,471,38
Hidalgo County,Texas,774769,2285,1365,316,19
Hill County,Texas,35089,804,186,139,3
Hockley County,Texas,22935,3692,1598,531,35
Hood County,Texas,51182,1411,406,231,10
Hopkins County,Texas,35161,2497,746,417,33
Houston County,Texas,23732,7988,2250,1202,119
Howard County,Texas,35012,711,232,146,4
Hudspeth County,Texas,3476,3463,2023,470,44
Hunt County,Texas,86129,1466,488,254,13
Hutchinson County,Texas,22150,204,98,40,2
Irion County,Texas,1599,1599,422,291,6
Jack County,Texas,9044,3266,1039,563,49
Jackson County,Texas,14075,2844,810,477,0
Jasper County,Texas,35710,2905,756,672,62
Jeff Davis County,Texas,2342,705,189,190,0
Jefferson County,Texas,252273,3151,677,402,33
Jim Hogg County,Texas,5300,116,68,16,8
Jim Wells County,Texas,40838,1239,574,217,15
Johnson County,Texas,150934,601,227,89,14
Jones County,Texas,20202,2500,774,384,32
Karnes County,Texas,14824,1532,430,281,6
Kaufman County,Texas,103350,905,198,134,4
Kendall County,Texas,33410,1947,176,340,10
Kenedy County,Texas,416,405,156,59,10
Kent County,Texas,808,785,244,204,34
Kerr County,Texas,49625,930,311,192,3
Kimble County,Texas,4607,1109,387,330,11
King County,Texas,286,286,64,38,0
Kinney County,Texas,3598,155,86,34,0
Kleberg County,Texas,32061,1586,606,303,14
Knox County,Texas,3719,470,221,97,4
La Salle County,Texas,6886,2006,795,157,35
Lamar County,Texas,49793,9012,3699,1625,100
Lamb County,Texas,13977,2925,1412,519,93
Lampasas County,Texas,19677,2391,772,536,50
Lavaca County,Texas,19263,2501,593,606,33
Lee County,Texas,16612,856,277,166,20
Leon County,Texas,16801,3452,1353,798,68
Liberty County,Texas,75643,6305,2612,868,182
Limestone County,Texas,23384,3561,1613,731,40
Lipscomb County,Texas,3302,3288,1042,484,30
Live Oak County,Texas,11531,1148,412,318,9
Llano County,Texas,19301,1919,598,710,11
Loving County,Texas,82,82,15,12,0
Lubbock County,Texas,278831,494,119,45,3
Lynn County,Texas,5915,1911,832,318,26
Madison County,Texas,13664,3544,1553,206,10
Marion County,Texas,10546,837,305,212,19
Martin County,Texas,4799,1028,324,137,0
Mason County,Texas,4012,847,112,258,0
Matagorda County,Texas,36702,5865,2229,1072,76
Maverick County,Texas,54258,1303,799,188,26
McCulloch County,Texas,8283,1262,446,326,23
McLennan County,Texas,234906,3265,706,460,7
McMullen County,Texas,707,682,179,177,12
Medina County,Texas,46006,3267,526,534,55
Menard County,Texas,2242,452,135,173,4
Midland County,Texas,136872,290,53,31,1
Milam County,Texas,24757,4387,1873,794,82
Mills County,Texas,4936,1219,445,316,8
Mitchell County,Texas,9403,237,64,42,3
Montague County,Texas,19719,1725,561,323,16
Montgomery County,Texas,455746,1407,515,172,12
Moore County,Texas,21904,2670,1437,103,60
Morris County,Texas,12934,2,0,0,0
Motley County,Texas,1210,223,40,56,10
Nacogdoches County,Texas,64524,8953,3216,1482,172
Navarro County,Texas,47735,5057,1607,903,95
Newton County,Texas,14445,4689,2040,929,119
Nolan County,Texas,15216,1133,330,228,16
Nueces County,Texas,340223,1489,469,155,12
Ochiltree County,Texas,10223,477,92,80,3
Oldham County,Texas,2052,2052,668,255,13
Orange County,Texas,81837,0,0,0,0
Palo Pinto County,Texas,28111,7925,2448,1601,85
Panola County,Texas,23796,4053,1541,619,18
Parker County,Texas,116927,3652,870,509,26
Parmer County,Texas,10269,748,231,102,6
Pecos County,Texas,15507,1790,779,177,13
Polk County,Texas,45413,4984,2285,985,129
Potter County,Texas,121073,634,89,93,8
Presidio County,Texas,7818,431,216,93,16
Rains County,Texas,10914,0,0,0,0
Randall County,Texas,120725,901,110,147,4
Reagan County,Texas,3367,214,51,30,19
Real County,Texas,3309,3309,1605,853,41
Red River County,Texas,12860,6613,2565,1430,118
Reeves County,Texas,13783,1184,554,254,13
Refugio County,Texas,7383,1416,649,284,22
Roberts County,Texas,929,849,199,138,12
Robertson County,Texas,16622,3264,1115,730,154
Rockwall County,Texas,78337,0,0,0,0
Runnels County,Texas,10501,1734,443,362,3
Rusk County,Texas,53330,5027,2135,922,115
Sabine County,Texas,10834,1642,601,573,5
San Augustine County,Texas,8865,2354,1065,558,36
San Jacinto County,Texas,26384,1995,853,321,7
San Patricio County,Texas,64804,85,26,13,0
San Saba County,Texas,6131,1864,576,433,35
Schleicher County,Texas,3461,369,103,87,0
Scurry County,Texas,16921,883,235,206,3
Shackelford County,Texas,3378,494,182,118,4
Shelby County,Texas,25448,3251,1137,690,50
Sherman County,Texas,3034,832,289,103,2
Smith County,Texas,209714,21,9,2,0
Somervell County,Texas,8490,0,0,0,0
Starr County,Texas,60968,2428,1542,396,44
Stephens County,Texas,9630,608,210,154,14
Sterling County,Texas,1143,1143,410,187,3
Stonewall County,Texas,1490,229,72,53,0
Sutton County,Texas,4128,317,68,57,4
Swisher County,Texas,7854,2029,903,381,35
Tarrant County,Texas,1809034,0,0,0,0
Taylor County,Texas,131506,731,88,157,13
Terrell County,Texas,984,984,409,205,27
Terry County,Texas,12651,1320,505,174,8
Throckmorton County,Texas,1641,1641,528,403,22
Titus County,Texas,32334,1835,782,281,12
Tom Green County,Texas,110224,4498,1079,685,27
Travis County,Texas,1024266,74,24,10,2
Trinity County,Texas,14585,459,98,78,2
Tyler County,Texas,21766,8858,3263,1577,171
Upshur County,Texas,39309,1338,466,248,22
Upton County,Texas,3355,1121,287,160,21
Uvalde County,Texas,26405,4481,2204,988,199
Val Verde County,Texas,48879,807,369,200,0
Van Zandt County,Texas,52579,2779,639,629,33
Victoria County,Texas,86793,8337,2749,1007,141
Walker County,Texas,67861,2933,809,496,14
Waller County,Texas,43205,945,267,123,16
Ward County,Texas,10658,671,204,94,7
Washington County,Texas,33718,1502,480,285,23
Webb County,Texas,250304,1999,972,183,42
Wharton County,Texas,41280,1490,577,198,15
Wheeler County,Texas,5410,620,168,148,3
Wichita County,Texas,131500,192,64,36,0
Wilbarger County,Texas,13535,645,148,103,14
Willacy County,Texas,22134,543,293,142,15
Williamson County,Texas,422679,5447,1489,584,34
Wilson County,Texas,42918,911,192,153,14
Winkler County,Texas,7110,19,5,7,0
Wise County,Texas,59127,2284,602,323,16
Wood County,Texas,41964,1751,570,341,12
Yoakum County,Texas,7879,243,79,24,2
Young County,Texas,18550,1578,538,314,28
Zapata County,Texas,14018,1548,962,200,40
Zavala County,Texas,11677,3139,2311,335,229
Beaver County,Utah,6629,954,281,87,0
Box Elder County,Utah,49975,1847,532,224,2
Cache County,Utah,112656,933,156,114,3
Carbon County,Utah,21403,1770,929,298,6
Daggett County,Utah,1059,1059,163,201,21
Davis County,Utah,306479,0,0,0,0
Duchesne County,Utah,18607,2263,771,370,7
Emery County,Utah,10976,1644,654,234,13
Garfield County,Utah,5172,3102,1119,495,38
Grand County,Utah,9225,215,111,40,10
Iron County,Utah,46163,1428,666,169,22
Juab County,Utah,10246,1916,643,296,42
Kane County,Utah,7125,1269,515,238,1
Millard County,Utah,12503,2714,629,445,4
Morgan County,Utah,9469,34,6,4,0
Piute County,Utah,1556,1556,744,332,8
Rich County,Utah,2264,2264,783,343,3
Salt Lake County,Utah,1029655,0,0,0,0
San Juan County,Utah,14746,7365,4443,712,229
Sanpete County,Utah,27822,1775,733,209,5
Sevier County,Utah,20802,414,153,79,3
Summit County,Utah,36324,3162,698,344,36
Tooele County,Utah,58218,2152,563,169,6
Uintah County,Utah,32588,2158,804,228,28
Utah County,Utah,516564,666,101,65,1
Wasatch County,Utah,23530,163,30,24,1
Washington County,Utah,138115,3685,802,799,6
Wayne County,Utah,2778,1074,440,203,24
Weber County,Utah,231236,164,26,25,0
Addison County,Vermont,36821,3,1,1,0
Bennington County,Vermont,37125,229,50,39,2
Caledonia County,Vermont,31227,1804,522,316,25
Chittenden County,Vermont,156545,0,0,0,0
Essex County,Vermont,6306,1781,632,394,80
Franklin County,Vermont,47746,291,125,33,0
Grand Isle County,Vermont,6970,188,31,33,2
Lamoille County,Vermont,24475,224,71,28,3
Orange County,Vermont,28936,2826,1004,428,67
Orleans County,Vermont,27231,2756,1089,418,36
Rutland County,Vermont,61642,1792,475,301,20
Washington County,Vermont,59534,1037,286,132,11
Windham County,Vermont,44513,9,2,4,0
Windsor County,Vermont,56670,0,0,0,0
Accomack County,Virginia,33164,727,298,156,226
Albemarle County,Virginia,98970,336,111,62,2
Alexandria city,Virginia,139966,0,0,0,0
Alleghany County,Virginia,16250,750,216,146,7
Amelia County,Virginia,12690,2089,781,292,15
Amherst County,Virginia,32353,901,298,179,11
Appomattox County,Virginia,14973,1108,306,240,36
Arlington County,Virginia,207627,0,0,0,0
Augusta County,Virginia,73750,1729,580,298,48
Bath County,Virginia,4731,1005,496,221,8
Bedford County,Virginia,74898,1599,317,268,17
Bland County,Virginia,6824,1333,355,136,9
Botetourt County,Virginia,33148,5777,1709,1025,118
Bristol city,Virginia,17835,0,0,0,0
Brunswick County,Virginia,17434,1465,479,264,64
Buchanan County,Virginia,24098,455,268,79,5
Buckingham County,Virginia,17146,2233,858,389,58
Buena Vista city,Virginia,6650,0,0,0,0
Campbell County,Virginia,54842,350,85,57,6
Caroline County,Virginia,28545,1512,433,247,22
Carroll County,Virginia,30042,1538,511,408,67
Charles City County,Virginia,7256,167,52,24,6
Charlotte County,Virginia,12586,4244,1838,815,107
Charlottesville city,Virginia,43475,0,0,0,0
Chesapeake city,Virginia,222209,9,2,1,0
Chesterfield County,Virginia,316236,4,0,1,0
Clarke County,Virginia,14034,53,8,6,1
Colonial Heights city,Virginia,17411,0,0,0,0
Covington city,Virginia,5961,0,0,0,0
Craig County,Virginia,5190,613,187,122,18
Culpeper County,Virginia,46689,467,102,63,3
Cumberland County,Virginia,10052,5576,1957,827,140
Danville city,Virginia,43055,0,0,0,0
Dickenson County,Virginia,15903,0,0,0,0
Dinwiddie County,Virginia,28001,3540,1018,593,43
Emporia city,Virginia,5927,0,0,0,0
Essex County,Virginia,11151,1739,466,290,30
Fairfax County,Virginia,1081726,0,0,0,0
Fairfax city,Virginia,22565,0,0,0,0
Falls Church city,Virginia,12332,0,0,0,0
Fauquier County,Virginia,65203,340,56,66,2
Floyd County,Virginia,15279,4208,1435,697,38
Fluvanna County,Virginia,25691,0,0,0,0
Franklin County,Virginia,56159,5488,2162,827,83
Franklin city,Virginia,8582,0,0,0,0
Frederick County,Virginia,78305,4686,687,498,42
Fredericksburg city,Virginia,24286,0,0,0,0
Galax city,Virginia,7042,0,0,0,0
Giles County,Virginia,17286,180,63,23,3
Gloucester County,Virginia,36858,0,0,0,0
Goochland County,Virginia,21717,1996,516,251,12
Grayson County,Virginia,15533,2810,1405,641,83
Greene County,Virginia,18403,0,0,0,0
Greensville County,Virginia,12243,83,31,24,2
Halifax County,Virginia,36241,6688,2125,1285,203
Hampton city,Virginia,137436,0,0,0,0
Hanover County,Virginia,99863,0,0,0,0
Harrisonburg city,Virginia,48914,0,0,0,0
Henrico County,Virginia,306935,0,0,0,0
Henry County,Virginia,54151,278,115,50,2
Highland County,Virginia,2321,2313,800,578,77
Hopewell city,Virginia,22591,0,0,0,0
Isle of Wight County,Virginia,35270,7,1,1,0
James City County,Virginia,67009,0,0,0,0
King George County,Virginia,23584,0,0,0,0
King William County,Virginia,15935,685,134,85,7
King and Queen County,Virginia,6945,733,346,115,4
Lancaster County,Virginia,11391,368,243,101,15
Lee County,Virginia,25587,1,0,0,0
Lexington city,Virginia,7042,0,0,0,0
Loudoun County,Virginia,312311,17,2,3,1
Louisa County,Virginia,33153,765,181,95,9
Lunenburg County,Virginia,12914,6,3,1,0
Lynchburg city,Virginia,75568,0,0,0,0
Madison County,Virginia,13308,90,39,19,2
Manassas Park city,Virginia,14273,0,0,0,0
Manassas city,Virginia,37821,0,0,0,0
Martinsville city,Virginia,13821,0,0,0,0
Mathews County,Virginia,8978,0,0,0,0
Mecklenburg County,Virginia,32727,2069,653,301,53
Middlesex County,Virginia,10959,117,30,23,1
Montgomery County,Virginia,94392,115,47,14,4
Nelson County,Virginia,15020,933,317,157,29
New Kent County,Virginia,18429,0,0,0,0
Newport News city,Virginia,180719,0,0,0,0
Norfolk city,Virginia,242803,0,0,0,0
Northampton County,Virginia,12389,0,0,0,0
Northumberland County,Virginia,12330,1150,259,435,15
Norton city,Virginia,3958,0,0,0,0
Nottoway County,Virginia,15853,6435,3451,935,82
Orange County,Virginia,33481,1518,620,171,0
Page County,Virginia,24042,0,0,0,0
Patrick County,Virginia,18490,1676,581,368,21
Petersburg city,Virginia,32420,0,0,0,0
Pittsylvania County,Virginia,63506,4300,1721,787,72
Poquoson city,Virginia,12150,0,0,0,0
Portsmouth city,Virginia,95535,0,0,0,0
Powhatan County,Virginia,28046,1701,307,188,14
Prince Edward County,Virginia,23368,2549,1198,432,42
Prince George County,Virginia,35725,1197,114,170,34
Prince William County,Virginia,402002,0,0,0,0
Pulaski County,Virginia,34872,9,2,4,0
Radford city,Virginia,16408,0,0,0,0
Rappahannock County,Virginia,7373,1515,378,258,11
Richmond County,Virginia,9254,297,220,110,25
Richmond city,Virginia,204214,0,0,0,0
Roanoke County,Virginia,92376,125,27,15,0
Roanoke city,Virginia,97032,0,0,0,0
Rockbridge County,Virginia,22307,4456,1626,890,67
Rockingham County,Virginia,76314,1288,393,214,25
Russell County,Virginia,28897,481,284,83,4
Salem city,Virginia,24802,0,0,0,0
Scott County,Virginia,23177,1784,713,338,41
Shenandoah County,Virginia,41993,119,16,31,3
Smyth County,Virginia,32208,202,80,53,5
Southampton County,Virginia,18570,4041,946,586,66
Spotsylvania County,Virginia,122397,18,6,2,1
Stafford County,Virginia,128961,0,0,0,0
Staunton city,Virginia,23746,0,0,0,0
Suffolk city,Virginia,84585,159,19,30,3
Surry County,Virginia,7058,2115,553,353,36
Sussex County,Virginia,12087,6464,1668,737,88
Tazewell County,Virginia,45078,37,16,11,2
Virginia Beach city,Virginia,437994,324,19,41,3
Warren County,Virginia,37575,0,0,0,0
Washington County,Virginia,54876,82,26,19,2
Waynesboro city,Virginia,21006,0,0,0,0
Westmoreland County,Virginia,17454,0,0,0,0
Williamsburg city,Virginia,14068,0,0,0,0
Winchester city,Virginia,26203,0,0,0,0
Wise County,Virginia,41452,0,0,0,0
Wythe County,Virginia,29235,147,37,28,3
York County,Virginia,65464,0,0,0,0
Adams County,Washington,18728,1673,763,301,15
Asotin County,Washington,21623,572,154,113,11
Benton County,Washington,175177,292,89,24,0
Chelan County,Washington,72453,3662,1138,614,40
Clallam County,Washington,71404,4218,1143,551,64
Clark County,Washington,425363,145,35,8,3
Columbia County,Washington,4078,373,96,93,9
Cowlitz County,Washington,102410,1078,333,138,7
Douglas County,Washington,38431,3662,1200,563,48
Ferry County,Washington,7551,3670,1853,581,59
Franklin County,Washington,78163,1283,437,142,9
Garfield County,Washington,2266,281,80,38,2
Grant County,Washington,89120,4861,1953,760,54
Grays Harbor County,Washington,72797,3273,1292,413,75
Island County,Washington,78506,0,0,0,0
Jefferson County,Washington,29872,3179,1259,605,28
King County,Washington,1931249,736,320,122,32
Kitsap County,Washington,251133,218,43,51,6
Kittitas County,Washington,40915,2190,452,329,18
Klickitat County,Washington,20318,2397,987,457,27
Lewis County,Washington,75455,4979,1784,862,43
Lincoln County,Washington,10570,4165,1282,908,41
Mason County,Washington,60699,872,295,164,4
Okanogan County,Washington,41120,3890,1686,786,43
Pacific County,Washington,20920,912,321,210,14
Pend Oreille County,Washington,13001,3348,1308,617,45
Pierce County,Washington,795225,935,341,142,24
San Juan County,Washington,15769,0,0,0,0
Skagit County,Washington,116901,1614,470,276,45
Skamania County,Washington,11066,468,113,61,5
Snohomish County,Washington,713335,617,92,75,9
Spokane County,Washington,471221,3588,1236,606,69
Stevens County,Washington,43531,9526,4017,1818,125
Thurston County,Washington,252264,87,18,10,0
Wahkiakum County,Washington,3978,603,176,119,1
Walla Walla County,Washington,58781,3112,1154,343,30
Whatcom County,Washington,201140,3271,1597,389,39
Whitman County,Washington,44776,4755,1423,981,64
Yakima County,Washington,243231,4946,1894,607,46
Barbour County,West Virginia,16589,126,28,20,0
Berkeley County,West Virginia,104169,0,0,0,0
Boone County,West Virginia,24629,1632,810,251,116
Braxton County,West Virginia,14523,2651,1373,473,130
Brooke County,West Virginia,24069,0,0,0,0
Cabell County,West Virginia,96319,155,38,29,4
Calhoun County,West Virginia,7627,1843,1021,306,27
Clay County,West Virginia,9386,1722,925,253,28
Doddridge County,West Virginia,8202,347,98,75,4
Fayette County,West Virginia,46039,449,155,54,23
Gilmer County,West Virginia,8693,567,303,93,7
Grant County,West Virginia,11937,1832,623,332,17
Greenbrier County,West Virginia,35480,2625,1210,459,51
Hampshire County,West Virginia,23964,6723,2371,1017,99
Hancock County,West Virginia,30676,0,0,0,0
Hardy County,West Virginia,14025,2218,903,421,10
Harrison County,West Virginia,69099,0,0,0,0
Jackson County,West Virginia,29211,1996,466,319,17
Jefferson County,West Virginia,53498,0,0,0,0
Kanawha County,West Virginia,193063,423,190,66,11
Lewis County,West Virginia,16372,643,274,107,7
Lincoln County,West Virginia,21720,646,251,94,22
Logan County,West Virginia,36743,1,1,0,0
Marion County,West Virginia,56418,48,16,11,1
